Time,Pace,Pull
46287,0.29,-0.3
47309,0.20,0.0
48292,0.15,0.0
49287,0.05,0.0
50289,0.06,0.0
51284,0.15,-0.1
52272,0.25,-0.1
53308,0.18,-5.1
54316,0.26,-0.2
55289,0.46,-0.1
56288,0.84,0.1
57323,2.12,0.0
58054,2.21,-0.0
59055,2.34,-0.2
60974,-0.1
61048,2.30,0.2
62045,2.27,0.2
63062,2.12,-0.1
64053,2.84,-0.1
65036,2.79,-0.1
66052,2.79,0.1
67035,2.86,0.1
68035,2.64,-0.1
69037,2.55,-0.2
70031,2.52,-0.1
71048,2.31,0.1
72031,3.31,-2.5
73043,4.35,-31.6
74053,5.98,-8.4
75062,5.55,-0.0
76035,5.59,-0.0
77049,6.20,-119.6
78059,4.53,-0.2
79049,4.05,0.1
80032,5.40,-0.0
81057,5.04,-3.3
82058,4.44,-8.2
83039,4.19,-37.3
84055,4.93,-0.1
85036,4.23,-0.2
86043,4.68,-0.1
87054,3.09,-0.1
88026,1.95,0.2
89024,2.27,0.1
90043,1.14,0.1
91025,1.44,-0.1
92029,1.39,0.2
93043,1.53,0.2
94028,1.73,-0.0
95029,1.87,-0.2
96028,2.11,-0.1
97029,2.24,0.1
98020,2.20,0.1
99037,2.45,0.0
100043,2.35,0.1
101018,2.42,0.1
102018,2.62,0.1
103041,2.54,-0.1
104023,2.59,-27.7
105022,2.43,0.2
106038,2.36,0.0
107027,2.38,0.0
108013,2.32,0.2
109008,0.81,0.2
110027,0.90,0.1
111028,0.42,0.1
112008,2.46,0.2
113006,2.25,-0.1
114009,3.22,0.2
115006,3.28,-0.1
116006,2.81,0.1
117012,2.37,-0.0
118010,2.80,0.1
119013,2.79,0.1
120281,2.15,-0.1
121315,1.43,0.1
122284,2.42,0.1
123279,3.26,-0.1
124312,3.22,0.0
125291,2.74,-0.2
126260,3.49,0.0
127289,3.21,-0.0
128282,3.45,0.2
129238,3.81,0.2
130268,3.38,0.1
131276,2.70,-0.1
132254,2.95,-0.0
133275,2.53,-15.4
134252,2.19,-0.1
135254,1.84,-0.1
136228,1.52,-30.3
137253,1.39,-30.2
138275,2.01,-29.5
139298,2.06,-29.4
